college,major,course_code,course_name,credits,type,semester
金融学院,金融学类,HUM104,大学生心理健康与人生发展,2.0,必修,2
金融学院,金融学类,JOB100,大学生职业生涯规划与创业基础,2.0,必修,2
金融学院,金融学类,MTT101,军事理论,2.0,必修,2
金融学院,金融学类,MTT201,国家安全教育,1.0,必修,2
金融学院,金融学类,ENG103,综合英语,2.0,必修,1
金融学院,金融学类,MAT301,高等数学,5.0,必修,1
金融学院,金融学类,MAT211,线性代数,3.0,必修,2
金融学院,金融学类,MAT302,高等数学,5.0,必修,2
金融学院,金融学类,MAT328,概率论与数理统计,4.0,必修,1
金融学院,金融学类,CST119,程序设计及应用（）,3.0,必修,2
金融学院,金融学类,CST122,人工智能与现代科技,2.0,必修,1
金融学院,金融学类,PED100,1.0,1.0,限选,1
金融学院,金融学类,PED200,1.0,1.0,限选,2
金融学院,金融学类,PED300,1.0,1.0,限选,1
金融学院,金融学类,HUM103,中国传统文化概论,2.0,限选,1
金融学院,金融学类,HUM134,国学导论,2.0,限选,1
金融学院,金融学类,HUM136,文学导论,2.0,限选,1
金融学院,金融学类,HUM137,中国文学经典选讲,2.0,限选,1
金融学院,金融学类,HUM144,中国史通论,2.0,限选,1
金融学院,金融学类,HUM102,沟通与写作,2.0,限选,1
金融学院,金融学类,HUM129,哲学导论,2.0,限选,1
金融学院,金融学类,HUM130,逻辑导论,2.0,限选,1
金融学院,金融学类,HUM131,批判性思维,2.0,限选,1
金融学院,金融学类,HUM132,中国哲学史,2.0,限选,1
金融学院,金融学类,HUM133,西方哲学史,2.0,限选,1
金融学院,金融学类,HUM106,社会学思想与方法,2.0,限选,1
金融学院,金融学类,CST121,计算机与大数据基础,2.0,限选,1
金融学院,金融学类,CST338,大模型应用,2.0,限选,1
金融学院,金融学类,IPT102,中国近现代史纲要,3.0,必修,1
金融学院,金融学类,IPT206,形势与政策,0.5,必修,1
金融学院,金融学类,IPT107,思想道德与法治,3.0,必修,2
金融学院,金融学类,IPT207,形势与政策,0.5,必修,2
金融学院,金融学类,IPT104,毛泽东思想和中国特色社会主义理论体系概论,3.0,必修,1
金融学院,金融学类,IPT208,形势与政策,0.5,必修,1
金融学院,金融学类,IPT103,马克思主义基本原理,3.0,必修,2
金融学院,金融学类,IPT109,习近平新时代中国特色社会主义思想概论,3.0,必修,2
金融学院,金融学类,ECO100,政治经济学,3.0,必修,1
金融学院,金融学类,ECO101,微观经济学,3.0,必修,1
金融学院,金融学类,ACC200,会计学,3.0,必修,2
金融学院,金融学类,ECO102,宏观经济学,3.0,必修,2
金融学院,金融学类,BST300,计量经济学,3.0,必修,1
金融学院,金融学类,FIN305,国际金融学,3.0,必修,2
金融学院,金融学类,FEG401,衍生金融工具,3.0,必修,1
金融学院,金融学类,FIN302,商业银行经营管理,3.0,必修,1
金融学院,金融学类,SFS404,投资银行学,3.0,必修,1
金融学院,金融学类,FEG405,金融经济学,3.0,必修,2
金融学院,金融学类,SFS304,固定收益证券,3.0,必修,1
金融学院,金融学类,SFS405,资产定价,3.0,必修,1
金融学院,金融学类,SFS406,中国资本市场,3.0,必修,2
金融学院,金融学类,FEG801,衍生金融工具（双语）,3.0,必修,1
金融学院,金融学类,CRM302,信用管理学,3.0,必修,1
金融学院,金融学类,CRM303,信用评级,3.0,必修,2
金融学院,金融学类,CRM408,信用评分,3.0,必修,2
金融学院,金融学类,CRM410,绿色金融,3.0,必修,2
金融学院,金融学类,FTA200,财政与税收,2.0,限选,1
金融学院,金融学类,MTT102,军事技能,2.0,必修,1
金融学院,金融学类,PRT102,名著阅读,2.0,必修,1
金融学院,金融学类,PRT109,创新、创业与社会实践,2.0,必修,1
金融学院,金融学类,PRT115,劳动教育,2.0,必修,1
金融学院,金融学类,FEG408,金融数据分析与编程,3.0,必修,1
金融学院,金融学类,OPT058,本科学术论文研究与写作,2.0,必修,1
